As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,NT Balance,Weddell,3
2/01/2025,2023,12,Other dangerous or negligent acts endangering persons,Other dangerous or negligent acts endangering persons,-,-,Palmerston,,3
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Alice Springs,,282
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Darwin,,174
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Katherine,,54
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Nhulunbuy,,6
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Alligator,3
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Anindilyakwa,2
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Barkly,4
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Daly,1
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,East Arnhem,14
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Elsey,4
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Gulf,6
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Howard Springs,3
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Humpty Doo,2
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Petermann - Simpson,1
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Sandover - Plenty,3
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tanami,1
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Thamarrurr,10
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Tiwi Islands,4
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Victoria River,2
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Virginia,3
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Weddell,7
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,West Arnhem,12
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Yuendumu - Anmatjere,1
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,NT Balance,Unknown ,5
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Palmerston,,85
2/01/2025,2023,12,Property Damage Offences,Property damage offences,-,-,Tennant Creek,,43
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Alice Springs,,3
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Darwin,,16
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Katherine,,4
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Anindilyakwa,1
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Yuendumu - Anmatjere,1
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,NT Balance,Unknown ,1
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Palmerston,,5
2/01/2025,2023,12,Robbery - extortion and related offences,Robbery,-,-,Tennant Creek,,4
2/01/2025,2023,12,Robbery - extortion and related offences,Blackmail and extortion,-,-,Nhulunbuy,,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Alice Springs,,7
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Darwin,,18
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Katherine,,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Nhulunbuy,,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Alligator,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,East Arnhem,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Howard Springs,2
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Tanami,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Victoria River,2
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,West Arnhem,1
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Unknown ,2
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Palmerston,,4
2/01/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Tennant Creek,,1
2/01/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Darwin,,1
2/01/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Katherine,,2
2/01/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,NT Balance,Tiwi Islands,1
2/01/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Palmerston,,5
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Alice Springs,,152
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,,291
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Katherine,,31
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Nhulunbuy,,4
2/01/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Alligator,10
