"as_at","year","month_number","offence_category","offence_type","alcohol_involvement","dv_involvement","reporting_region","statistical_area_2","number_of_offences"
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,0,"Palmerston","",25
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Alice Springs","",53
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Alice Springs","",58
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",0,1,"Alice Springs","",59
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Darwin","",44
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Darwin","",46
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Katherine","",19
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"Katherine","",20
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Alligator",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Anindilyakwa",7
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Barkly",1
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Daly",1
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","East Arnhem",25
"1/05/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","East Arnhem",26
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","East Arnhem",28
"3/03/2025",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","East Arnhem",29
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Elsey",3
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Gulf",18
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Gulf",19
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Petermann - Simpson",4
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Sandover - Plenty",4
"2/04/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tanami",12
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tanami",14
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Thamarrurr",19
"4/07/2024",2024,1,"Acts intended to cause Injury","Assault",0,1,"NT Balance","Tiwi Islands",11
