As At,Year,Month number,Offence category,Offence type,Alcohol involvement,DV involvement,Reporting region,Statistical Area 2,Number of offences
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Darwin,,18
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Katherine,,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Nhulunbuy,,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Alligator,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,East Arnhem,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Howard Springs,2
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Tanami,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Victoria River,2
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,West Arnhem,1
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,NT Balance,Unknown ,2
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Palmerston,,4
3/03/2025,2023,12,Sexual assault and related offences,Sexual assault,-,-,Tennant Creek,,1
3/03/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Darwin,,1
3/03/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Katherine,,2
3/03/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,NT Balance,Tiwi Islands,1
3/03/2025,2023,12,Sexual assault and related offences,Non-assaultive sexual offences,-,-,Palmerston,,5
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Alice Springs,,153
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Darwin,,292
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Katherine,,31
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,Nhulunbuy,,4
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Alligator,10
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Anindilyakwa,4
3/03/2025,2023,12,Theft and related offences (other than MV),Theft and related offences (other than MV),-,-,NT Balance,Barkly,2
